Model,Outer Repeat,Fold,Experiment,Density,Cutting Speed,Feed Rate,Experiment ID,MAE,MSE,RMSE,Window Count
RNN,1,3,"(10, 25, 15, 3)",10,25,15,3,3.777766466140747,20.990188598632812,4.581505058234992,179
RNN,1,3,"(10, 25, 20, 1)",10,25,20,1,7.229757308959961,61.85194396972656,7.864600687239408,179
RNN,1,3,"(10, 63, 10, 2)",10,63,10,2,4.350429534912109,29.07917594909668,5.392511098653083,179
RNN,1,3,"(10, 63, 15, 2)",10,63,15,2,5.0420241355896,36.20256423950195,6.016856674336023,179
RNN,1,3,"(10, 63, 20, 1)",10,63,20,1,4.130983829498291,27.877416610717773,5.279906875193706,179
RNN,1,3,"(10, 100, 15, 3)",10,100,15,3,7.765537738800049,74.58594512939453,8.636315483433577,179
RNN,1,3,"(10, 100, 20, 2)",10,100,20,2,12.349361419677734,169.0723419189453,13.002782083805961,179
RNN,1,3,"(15, 10, 15, 2)",15,10,15,2,12.721187591552734,181.5094757080078,13.472545257226187,179
RNN,1,3,"(15, 10, 20, 3)",15,10,20,3,15.531843185424805,285.9279479980469,16.909404129006052,179
RNN,1,3,"(15, 16, 10, 1)",15,16,10,1,10.569262504577637,126.25180053710938,11.236182649686208,179
RNN,1,3,"(15, 25, 20, 3)",15,25,20,3,14.039081573486328,208.95596313476562,14.455309167733688,179
RNN,1,3,"(15, 40, 15, 2)",15,40,15,2,5.333156585693359,40.82274627685547,6.389268054860077,179
RNN,1,3,"(15, 40, 20, 2)",15,40,20,2,9.230006217956543,92.61870574951172,9.623861270275654,179
RNN,1,3,"(15, 63, 20, 2)",15,63,20,2,4.87352991104126,43.18892288208008,6.5718279711264564,179
RNN,1,3,"(15, 100, 10, 1)",15,100,10,1,6.594523906707764,62.89583969116211,7.930689736155495,179
RNN,1,3,"(20, 10, 10, 3)",20,10,10,3,35.740936279296875,1387.887939453125,37.254368058700514,179
RNN,1,3,"(20, 10, 15, 3)",20,10,15,3,18.709224700927734,438.6639404296875,20.944305680296196,179
